Tw,method,N,F,G,H,Fz,Gz,rho,T,velocity_error,derivative_error,density_error,temperature_excess_error
1.05,simpson,2001,0.024094337158184237,0.003292142658632066,0.0036331407828839035,0.02463579540757978,0.02046022997481464,0.0010098390111646775,0.09923265564691226,0.024094337158184237,0.02463579540757978,0.0010098390111646775,0.09923265564691226
1.05,trapezoid,4001,0.024094337157654404,0.0032921426628047356,0.0036331407859262347,0.02463612599238216,0.02046025093873062,0.0010098413641195,0.09923263271876742,0.024094337157654404,0.02463612599238216,0.0010098413641195,0.09923263271876742
1.05,simpson,4001,0.02409433715769176,0.0032921426624840148,0.0036331407856705976,0.02463579498000849,0.02046022982560085,0.0010098390100608092,0.09923265558613371,0.02409433715769176,0.02463579498000849,0.0010098390100608092,0.09923265558613371
1.05,trapezoid,8001,0.02409433715766157,0.0032921426627445806,0.003633140785865022,0.024635877715417566,0.020460235097111652,0.0010098395985243397,0.09923264986644331,0.02409433715766157,0.024635877715417566,0.0010098395985243397,0.09923264986644331
1.05,simpson,8001,0.024094337157663962,0.0032921426627245294,0.0036331407858446172,0.024635794953417722,0.02046022981656942,0.0010098390099919344,0.09923265558233724,0.024094337157663962,0.024635794953417722,0.0010098390099919344,0.09923265558233724
1.05,trapezoid,16001,0.02409433715766203,0.0032921426627408163,0.003633140785857878,0.024635815642806473,0.020460231136268527,0.0010098391571218353,0.09923265415318558,0.02409433715766203,0.024635815642806473,0.0010098391571218353,0.09923265415318558
1.05,simpson,16001,0.024094337157662186,0.0032921426627395617,0.003633140785855497,0.024635794951747874,0.020460229815987323,0.001009839009987624,0.09923265558209979,0.024094337157662186,0.024635794951747874,0.001009839009987624,0.09923265558209979
1.05,trapezoid,32001,0.024094337157662057,0.003292142662740582,0.0036331407858566024,0.024635800124443198,0.020460230146030635,0.0010098390467709762,0.09923265522486018,0.024094337157662057,0.024635800124443198,0.0010098390467709762,0.09923265522486018
1.05,simpson,32001,0.024094337157662064,0.003292142662740503,0.0036331407858561774,0.02463579495164367,0.020460229815951324,0.0010098390099873538,0.09923265558208506,0.024094337157662064,0.02463579495164367,0.0010098390099873538,0.09923265558208506
1.075,adaptive_cubic,0,0.03456603101922631,0.004732323963481898,0.005375847994786882,0.03533604047300266,0.0294277221782484,0.0012050145165351466,0.08503854459000906,0.03456603101922631,0.03533604047300266,0.0012050145165351466,0.08503854459000906
1.075,adaptive_pchip,0,0.0345660321374008,0.004732323826100904,0.005375847750305175,0.03533604623318681,0.029427688782133872,0.0012050145146440625,0.08503854461695633,0.0345660321374008,0.03533604623318681,0.0012050145146440625,0.08503854461695633
1.075,trapezoid,251,0.03456598478248166,0.004732323575114134,0.005375848019432165,0.035462715576988456,0.02943820742732791,0.0012063676986530376,0.08503168656831374,0.03456598478248166,0.035462715576988456,0.0012063676986530376,0.08503168656831374
1.075,simpson,251,0.03456621145675081,0.004732325676192223,0.005375847922599798,0.03533831754921287,0.029427517304562997,0.0012050196170114507,0.08503869611519049,0.03456621145675081,0.03533831754921287,0.0012050196170114507,0.08503869611519049
1.075,trapezoid,501,0.034566028232815224,0.004732323955039819,0.005375848008464539,0.03536802858692591,0.029430334146548547,0.0012053531945847313,0.08503683708283476,0.034566028232815224,0.03536802858692591,0.0012053531945847313,0.08503683708283476
1.075,simpson,501,0.034566042716203206,0.004732324081681709,0.005375848004808664,0.03533618245477652,0.029427709286838362,0.0012050148369821116,0.0850385541271497,0.034566042716203206,0.03533618245477652,0.0012050148369821116,0.0850385541271497
1.075,trapezoid,1001,0.034566030963737865,0.004732323978498835,0.005375848006678109,0.035344057546208694,0.029428374382559404,0.0012050992101141464,0.08503811815698697,0.034566030963737865,0.035344057546208694,0.0012050992101141464,0.08503811815698697
