Tw,z,F_i,G_i,minus_G_i,H_i,T_i,F_c,G_c,H_c,T_c,rho_c,dF_c_minus_i,dG_c_minus_i_raw,dG_c_minus_minus_Gi,dH_c_minus_i,dT_c_minus_i
1.5,7.26,0.0015342729017481618,0.9999426610876831,-0.9999426610876831,-1.445494814328045,1.000679877877616,0.0036901866985550864,-0.9951724753760659,-0.8897984343526373,1.0156321926785858,0.98460841159696,0.002155913796806925,-1.995115136463749,0.0047701857116172475,0.5556963799754078,0.014952314800969813
1.5,7.2700000000000005,0.0015186622293514233,0.9999434853617114,-0.9999434853617114,-1.4455253434298463,1.000672831460208,0.0036583856850396653,-0.9952143427511095,-0.8897866435373881,1.0155348460978897,0.9847027936485084,0.002139723455688242,-1.9951578281128208,0.004729142610601866,0.5557386998924582,0.014862014637681664
1.5,7.28,0.0015032090271045238,0.9999442977881313,-0.9999442977881313,-1.4455555618803801,1.0006658580038055,0.0036268637333531886,-0.9952558379716545,-0.8897747282190555,1.0154381148362672,0.9847965970444624,0.0021236547062486646,-1.9952001357597857,0.004688459816476809,0.5557808336613247,0.01477225683246175
1.5,7.29,0.0014879117267579168,0.9999450985372581,-0.9999450985372581,-1.4455854728147817,1.0006589567541293,0.0035955993933940787,-0.9952969897204693,-0.8897626993908002,1.015341952933365,0.9848898660308073,0.0021076876666361617,-1.9952420882577275,0.004648108816788787,0.5558227734239815,0.01468299617923563
1.5,7.3,0.0014727687617690683,0.9999458877791271,-0.9999458877791271,-1.4456150793646938,1.0006521269577715,0.0035646086120129047,-0.9953377768162034,-0.8897505515066905,1.0152463970210368,0.9849825647588869,0.002091839850243836,-1.9952836645953305,0.004608110962923684,0.5558645278580033,0.014594270063265302
1.5,7.3100000000000005,0.00145777859652684,0.9999466656788241,-0.9999466656788241,-1.4456443845986076,1.000645367877032,0.00353387332947348,-0.9953782234084192,-0.8897382938460144,1.0151514084307933,0.985074730424485,0.00207609473294664,-1.9953248890872433,0.004568442270404871,0.5559060907525931,0.014506040553761368
1.5,7.32,0.0014429397223007239,0.9999474323972097,-0.9999474323972097,-1.4456733915301991,1.000638678787824,0.0035034039096620397,-0.9954183157618081,-0.8897259234676066,1.0150570116103386,0.9851663389956281,0.002060464187361316,-1.995365748159018,0.004529116635401675,0.5559474680625925,0.014418332822514479
1.5,7.33,0.0014282506312527637,0.9999481880950087,-0.9999481880950087,-1.4457021031713284,1.0006320589665096,0.0034731890012153063,-0.9954580690743807,-0.8897134466437658,1.0149631826828518,0.9852574133346398,0.002044938369962543,-1.9954062571693894,0.004490119020628014,0.5559886565275626,0.014331123716342153
1.5,7.34,0.001413709817118249,0.9999489329326932,-0.9999489329326932,-1.4457305225306416,1.0006255076902506,0.003443232472945477,-0.9954974782668955,-0.8897008632358646,1.0148699316898897,0.9853479433910025,0.002029522655827228,-1.9954464111995887,0.004451454665797661,0.556029659294777,0.0142444239996391
1.5,7.3500000000000005,0.0013993158031343142,0.9999496670661073,-0.9999496670661073,-1.4457586525566333,1.000619024251144,0.0034135293821645867,-0.995536549993085,-0.889688176687401,1.0147772489081615,0.9854379383021635,0.0020142135790302725,-1.9954862170591925,0.004413117073022277,0.5560704758692323,0.014158224657017549
