sample,Hinf,Tw,temporal_degree,rank_by_real_part,eigen_real,eigen_imag,positive_real_count,closest_to_zero_real,closest_to_zero_imag
middle,-0.3,1.0385768099155694,70,11,-0.0008229691128098163,-0.00015790058166967986,1,-1.383990679744943e-05,0.0
middle,-0.3,1.0385768099155694,70,12,-0.0008229691128098163,0.00015790058166967989,1,-1.383990679744943e-05,0.0
middle,-0.3,1.0385768099155694,90,1,0.04175985852027313,0.0,1,-8.373029009294535e-06,0.0
middle,-0.3,1.0385768099155694,90,2,-8.373029009294535e-06,0.0,1,-8.373029009294535e-06,0.0
middle,-0.3,1.0385768099155694,90,3,-5.363206086408358e-05,2.361277633978791e-05,1,-8.373029009294535e-06,0.0
middle,-0.3,1.0385768099155694,90,4,-5.363206086408358e-05,-2.3612776339787914e-05,1,-8.373029009294535e-06,0.0
middle,-0.3,1.0385768099155694,90,5,-6.577466846653745e-05,0.0,1,-8.373029009294535e-06,0.0
middle,-0.3,1.0385768099155694,90,6,-0.00014501178175540353,0.003503061234417517,1,-8.373029009294535e-06,0.0
middle,-0.3,1.0385768099155694,90,7,-0.00014501178175540356,-0.0035030612344175175,1,-8.373029009294535e-06,0.0
middle,-0.3,1.0385768099155694,90,8,-0.00020375531976223692,-5.503987692874665e-05,1,-8.373029009294535e-06,0.0
middle,-0.3,1.0385768099155694,90,9,-0.00020375531976223692,5.503987692874666e-05,1,-8.373029009294535e-06,0.0
middle,-0.3,1.0385768099155694,90,10,-0.00022090614577163702,0.0,1,-8.373029009294535e-06,0.0
middle,-0.3,1.0385768099155694,90,11,-0.0004994776337541633,-9.699388853891776e-05,1,-8.373029009294535e-06,0.0
middle,-0.3,1.0385768099155694,90,12,-0.0004994776337541634,9.699388853891776e-05,1,-8.373029009294535e-06,0.0
middle_near_second,-0.15,1.030669123521854,50,1,0.04283429980799803,0.0,1,-1.3554468774986064e-05,0.0
middle_near_second,-0.15,1.030669123521854,50,2,-1.3554468774986064e-05,0.0,1,-1.3554468774986064e-05,0.0
middle_near_second,-0.15,1.030669123521854,50,3,-8.676502633621277e-05,-3.794610767260653e-05,1,-1.3554468774986064e-05,0.0
middle_near_second,-0.15,1.030669123521854,50,4,-8.676502633621278e-05,3.794610767260653e-05,1,-1.3554468774986064e-05,0.0
middle_near_second,-0.15,1.030669123521854,50,5,-0.00010608498922107423,0.0,1,-1.3554468774986064e-05,0.0
middle_near_second,-0.15,1.030669123521854,50,6,-0.00026740863353955346,0.004107192965243861,1,-1.3554468774986064e-05,0.0
middle_near_second,-0.15,1.030669123521854,50,7,-0.00026740863353955346,-0.004107192965243861,1,-1.3554468774986064e-05,0.0
middle_near_second,-0.15,1.030669123521854,50,8,-0.0003259341802036064,-8.603557621967775e-05,1,-1.3554468774986064e-05,0.0
middle_near_second,-0.15,1.030669123521854,50,9,-0.00032593418020360643,8.603557621967777e-05,1,-1.3554468774986064e-05,0.0
middle_near_second,-0.15,1.030669123521854,50,10,-0.0003528063579425216,0.0,1,-1.3554468774986064e-05,0.0
middle_near_second,-0.15,1.030669123521854,50,11,-0.0007813009349051358,0.00014259739473553414,1,-1.3554468774986064e-05,0.0
middle_near_second,-0.15,1.030669123521854,50,12,-0.0007813009349051358,-0.00014259739473553417,1,-1.3554468774986064e-05,0.0
