T,mu_chapman,mu_sutherland,rho_mu_chapman,rho_mu_sutherland,nu_chapman,nu_sutherland,dmu_dT_chapman,dmu_dT_sutherland,rel_mu_sutherland_minus_chapman,rel_rho_mu_sutherland_minus_chapman
1.9180000000000001,1.9180000000000001,1.6122263875436598,0.9999999999999999,0.8405768443918975,3.6787240000000008,3.09225021130874,1.0,0.5705764652136308,-0.15942315560810238,-0.1594231556081024
1.919,1.919,1.612796884077883,1.0,0.8404361042615337,3.6825609999999998,3.0949572205454574,1.0,0.5704166231720559,-0.15956389573846638,-0.1595638957384663
1.92,1.92,1.6133672208298593,1.0,0.8402954275155518,3.6863999999999995,3.0976650639933294,1.0,0.5702569006964321,-0.15970457248444825,-0.15970457248444825
1.921,1.921,1.6139373979190854,1.0,0.840154814117171,3.6902410000000003,3.100373741402563,1.0,0.5700972976490741,-0.15984518588282906,-0.15984518588282903
1.9220000000000002,1.9220000000000002,1.614507415464921,1.0,0.8400142640296154,3.6940840000000006,3.1030832525235788,1.0,0.5699378138925044,-0.15998573597038454,-0.15998573597038457
1.923,1.923,1.6150772735865881,1.0,0.8398737772161144,3.6979290000000002,3.105793597107009,1.0,0.5697784492894521,-0.16012622278388552,-0.16012622278388555
1.924,1.924,1.615646972403172,1.0,0.8397333536399023,3.7017759999999997,3.1085047749037025,1.0,0.569619203702853,-0.16026664636009774,-0.1602666463600977
1.925,1.925,1.6162165120336203,0.9999999999999999,0.8395929932642182,3.7056250000000004,3.1112167856647193,1.0,0.5694600769958493,-0.1604070067357817,-0.1604070067357817
1.9260000000000002,1.9260000000000002,1.6167858925967449,1.0,0.8394526960523078,3.7094760000000004,3.1139296291413308,1.0,0.5693010690317886,-0.16054730394769223,-0.16054730394769223
1.927,1.927,1.6173551142112197,1.0,0.8393124619674207,3.713329,3.11664330508502,1.0,0.5691421796742242,-0.16068753803257932,-0.1606875380325793
1.928,1.928,1.6179241769955832,1.0,0.839172290972813,3.7171839999999996,3.119357813247484,1.0,0.5689834087869147,-0.1608277090271871,-0.16082770902718702
1.929,1.929,1.618493081068238,1.0,0.8390321830317461,3.721041,3.122073153380631,1.0,0.5688247562338231,-0.160967816968254,-0.1609678169682539
1.9300000000000002,1.9300000000000002,1.6190618265474506,1.0,0.8388921381074873,3.7249000000000008,3.1247893252365797,1.0,0.5686662218791171,-0.16110786189251272,-0.1611078618925127
1.931,1.931,1.6196304135513506,1.0,0.8387521561633094,3.7287610000000004,3.1275063285676583,1.0,0.5685078055871677,-0.16124784383669052,-0.16124784383669055
1.932,1.932,1.6201988421979339,1.0,0.8386122371624917,3.732624,3.130224163126408,1.0,0.5683495072225506,-0.16138776283750833,-0.16138776283750833
1.933,1.933,1.6207671126050596,1.0,0.8384723810683185,3.736489,3.13294282866558,1.0,0.568191326650044,-0.16152761893168158,-0.16152761893168155
1.9340000000000002,1.9340000000000002,1.621335224890453,0.9999999999999999,0.8383325878440809,3.740356000000001,3.1356623249381363,1.0,0.568033263734629,-0.16166741215591895,-0.16166741215591898
1.935,1.935,1.621903179171703,0.9999999999999999,0.8381928574530764,3.7442250000000006,3.1383826516972455,1.0,0.5678753183414896,-0.16180714254692358,-0.16180714254692355
1.936,1.936,1.6224709755662652,1.0,0.8380531898586081,3.7480959999999994,3.1411038086962892,1.0,0.567717490336012,-0.16194681014139192,-0.1619468101413919
1.937,1.937,1.6230386141914594,1.0,0.8379135850239853,3.751969,3.1438257956888567,1.0,0.5675597795837836,-0.16208641497601475,-0.16208641497601473
1.9380000000000002,1.9380000000000002,1.6236060951644724,0.9999999999999999,0.8377740429125243,3.755844000000001,3.146548612428748,1.0,0.5674021859505938,-0.16222595708747561,-0.1622259570874756
1.939,1.939,1.6241734186023558,1.0,0.8376345634875481,3.7597210000000003,3.149272258669968,1.0,0.5672447093024328,-0.16236543651245192,-0.16236543651245194
1.94,1.94,1.6247405846220275,1.0,0.8374951467123855,3.7635999999999994,3.151996734166733,1.0,0.5670873495054918,-0.16250485328761466,-0.16250485328761455
1.941,1.941,1.6253075933402723,0.9999999999999999,0.8373557925503721,3.7674810000000005,3.154722038673469,1.0,0.566930106426162,-0.1626442074496279,-0.16264420744962785
1.9420000000000002,1.9420000000000002,1.6258744448737414,0.9999999999999999,0.8372165009648512,3.771364000000001,3.1574481719448064,1.0,0.5667729799310353,-0.16278349903514866,-0.1627834990351487
1.943,1.943,1.6264411393389515,1.0,0.8370772719191722,3.775249,3.160175133735583,1.0,0.566615969886902,-0.16292272808082786,-0.16292272808082775
1.944,1.944,1.6270076768522879,1.0,0.8369381053766912,3.779136,3.1629029238008477,1.0,0.5664590761607531,-0.1630618946233087,-0.16306189462330878
1.945,1.945,1.6275740575300015,1.0,0.8367990013007719,3.7830250000000003,3.165631541895853,1.0,0.5663022986197775,-0.16320099869922805,-0.1632009986992281
1.9460000000000002,1.9460000000000002,1.6281402814882115,1.0,0.836659959654785,3.786916,3.16836098777606,1.0,0.5661456371313631,-0.1633400403452151,-0.163340040345215
1.947,1.947,1.6287063488429043,0.9999999999999999,0.836520980402108,3.7908090000000003,3.171091261197135,1.0,0.5659890915630958,-0.163479019597892,-0.16347901959789193
1.948,1.948,1.6292722597099336,1.0,0.8363820635061262,3.7947039999999994,3.1738223619149504,1.0,0.5658326617827599,-0.1636179364938739,-0.1636179364938738
1.949,1.949,1.6298380142050217,0.9999999999999999,0.8362432089302316,3.7986010000000006,3.176554289685588,1.0,0.5656763476583366,-0.16375679106976826,-0.1637567910697683
1.9500000000000002,1.9500000000000002,1.6304036124437584,1.0,0.8361044166378248,3.8025000000000007,3.179287044265329,1.0,0.5655201490580042,-0.16389558336217525,-0.16389558336217525
1.951,1.951,1.630969054541602,1.0,0.8359656865923127,3.806401,3.1820206254106655,1.0,0.5653640658501385,-0.16403431340768737,-0.16403431340768726
1.952,1.952,1.6315343406138791,0.9999999999999999,0.8358270187571102,3.8103040000000004,3.1847550328782925,1.0,0.5652080979033111,-0.16417298124288976,-0.16417298124288973
1.953,1.953,1.6320994707757848,1.0,0.8356884130956399,3.8142090000000004,3.1874902664251077,1.0,0.5650522450862897,-0.1643115869043601,-0.1643115869043601
1.9540000000000002,1.9540000000000002,1.6326644451423844,1.0,0.8355498695713328,3.8181160000000007,3.190226325808219,1.0,0.5648965072680384,-0.1644501304286672,-0.16445013042866719
1.955,1.955,1.6332292638286108,1.0,0.835411388147627,3.822025,3.1929632107849337,1.0,0.5647408843177162,-0.16458861185237303,-0.16458861185237295
1.956,1.956,1.6337939269492658,1.0,0.8352729687879682,3.825936,3.195700921112764,1.0,0.5645853761046767,-0.16472703121203175,-0.1647270312120318
1.957,1.957,1.634358434619022,0.9999999999999999,0.8351346114558109,3.8298490000000007,3.1984394565494267,1.0,0.5644299824984693,-0.16486538854418906,-0.164865388544189
1.9580000000000002,1.9580000000000002,1.6349227869524214,1.0,0.8349963161146177,3.833764000000001,3.2011788168528414,1.0,0.5642747033688366,-0.1650036838853824,-0.16500368388538234
1.959,1.959,1.6354869840638753,1.0,0.8348580827278587,3.8376810000000003,3.203919001781132,1.0,0.5641195385857162,-0.16514191727214128,-0.16514191727214134
1.96,1.96,1.636051026067665,1.0,0.8347199112590128,3.8415999999999997,3.2066600110926236,1.0,0.5639644880192386,-0.1652800887409872,-0.1652800887409872
1.9609999999999999,1.9609999999999999,1.6366149130779428,0.9999999999999999,0.8345818016715669,3.8455209999999997,3.209401844545846,1.0,0.5638095515397283,-0.16541819832843296,-0.165418198328433
1.962,1.962,1.63717864520873,0.9999999999999999,0.8344437539290163,3.849444,3.2121445018995285,1.0,0.5636547290177016,-0.16555624607098365,-0.16555624607098365
